voyage_id,imo_number,vessel_name,vessel_type,cp_date,laycan_start,laycan_end,actual_load_date,actual_discharge_date,load_port,load_country,load_region,discharge_port,discharge_country,discharge_region,cargo_grade,cargo_qty_mt,charterer,sts_transfer,ballast_origin,laden_days,ballast_days
VYG1033,9481234,Nord Titan,VLCC,2024-10-25,2024-10-29,2024-11-02,2024-10-29,2024-11-08,Bonny,Nigeria,WAF,Houston,USA,USGC,Bonny Light,289915,Saudi Aramco Trading,N,Rotterdam,10,8
VYG1034,9481234,Nord Titan,VLCC,2024-11-12,2024-11-15,2024-11-19,2024-11-16,2024-12-02,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,271528,TotalEnergies Trading,N,Ulsan,16,4
VYG1035,9481234,Nord Titan,VLCC,2024-12-07,2024-12-12,2024-12-16,2024-12-14,2025-01-07,Kharg Island,Iran,AG,Ningbo,China,FEA,Arab Light,266341,Chevron Products,N,Ulsan,24,8
VYG1036,9512345,Nord Atlas,VLCC,2022-01-01,2022-01-08,2022-01-12,2022-01-08,2022-01-22,Ruwais,UAE,AG,Rotterdam,Netherlands,NWE,Arab Light,273752,Castleton Commodities,N,Ulsan,14,4
VYG1037,9512345,Nord Atlas,VLCC,2022-01-27,2022-02-02,2022-02-06,2022-02-03,2022-03-01,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Arab Light,291124,Vitol Group,N,Antwerp,26,9
VYG1038,9512345,Nord Atlas,VLCC,2022-03-06,2022-03-11,2022-03-15,2022-03-12,2022-04-09,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Iranian Heavy,267593,Freepoint Commodities,N,Rotterdam,28,6
VYG1039,9512345,Nord Atlas,VLCC,2022-04-16,2022-04-18,2022-04-22,2022-04-18,2022-05-06,Bonny,Nigeria,WAF,Houston,USA,USGC,Bonny Light,289296,TotalEnergies Trading,N,Houston,18,4
VYG1040,9512345,Nord Atlas,VLCC,2022-05-14,2022-05-21,2022-05-25,2022-05-23,2022-06-06,Bonny,Nigeria,WAF,Antwerp,Belgium,NWE,Forcados,272110,Saudi Aramco Trading,N,Antwerp,14,11
VYG1041,9512345,Nord Atlas,VLCC,2022-06-10,2022-06-16,2022-06-20,2022-06-17,2022-07-10,Ruwais,UAE,AG,Antwerp,Belgium,NWE,Arab Heavy,265499,Litasco,N,Ulsan,23,9
VYG1042,9512345,Nord Atlas,VLCC,2022-07-18,2022-07-22,2022-07-26,2022-07-22,2022-08-01,Ruwais,UAE,AG,Qingdao,China,FEA,Basrah Light,266344,Equinor Trading,N,Antwerp,10,11
VYG1043,9512345,Nord Atlas,VLCC,2022-08-05,2022-08-11,2022-08-15,2022-08-13,2022-08-26,Ruwais,UAE,AG,Rotterdam,Netherlands,NWE,Arab Heavy,280571,Vitol Group,N,Rotterdam,13,9
VYG1044,9512345,Nord Atlas,VLCC,2022-09-04,2022-09-06,2022-09-10,2022-09-06,2022-09-21,Basrah,Iraq,AG,Rotterdam,Netherlands,NWE,Arab Heavy,291689,Chevron Products,N,Singapore,15,6
VYG1045,9512345,Nord Atlas,VLCC,2022-09-27,2022-10-02,2022-10-06,2022-10-03,2022-10-15,Ras Tanura,Saudi Arabia,AG,,,,Arab Light,269535,Vitol Group,Y,Rotterdam,12,6
VYG1046,9512345,Nord Atlas,VLCC,2022-10-19,2022-10-21,2022-10-25,2022-10-23,2022-11-21,Ras Tanura,Saudi Arabia,AG,Houston,USA,USGC,Basrah Light,283403,BP Oil International,N,Antwerp,29,4
VYG1047,9512345,Nord Atlas,VLCC,2022-11-29,2022-12-04,2022-12-08,2022-12-05,2022-12-18,Kharg Island,Iran,AG,Singapore,Singapore,SEA,Iranian Heavy,284034,Vitol Group,N,Antwerp,13,4
VYG1048,9512345,Nord Atlas,VLCC,2022-12-26,2023-01-01,2023-01-05,2023-01-01,2023-01-19,Kharg Island,Iran,AG,Qingdao,China,FEA,Iranian Heavy,274547,Vitol Group,N,Houston,18,4
VYG1049,9512345,Nord Atlas,VLCC,2023-01-28,2023-01-31,2023-02-04,2023-01-31,2023-02-19,Ruwais,UAE,AG,Antwerp,Belgium,NWE,Arab Light,291205,BP Oil International,N,Houston,19,8
VYG1050,9512345,Nord Atlas,VLCC,2023-02-24,2023-03-03,2023-03-07,2023-03-05,2023-03-24,Basrah,Iraq,AG,Ulsan,South Korea,FEA,Iranian Heavy,281604,Equinor Trading,N,Rotterdam,19,4
VYG1051,9512345,Nord Atlas,VLCC,2023-04-02,2023-04-04,2023-04-08,2023-04-06,2023-04-18,Escravos,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,291522,Shell Trading,N,Houston,12,5
VYG1052,9512345,Nord Atlas,VLCC,2023-04-25,2023-04-28,2023-05-02,2023-04-30,2023-05-24,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,286105,Vitol Group,N,Singapore,24,10
VYG1053,9512345,Nord Atlas,VLCC,2023-06-02,2023-06-04,2023-06-08,2023-06-05,2023-06-17,Kharg Island,Iran,AG,Ningbo,China,FEA,Iranian Heavy,286464,TotalEnergies Trading,N,Houston,12,7
VYG1054,9512345,Nord Atlas,VLCC,2023-06-22,2023-06-26,2023-06-30,2023-06-27,2023-07-22,Kharg Island,Iran,AG,Singapore,Singapore,SEA,Iranian Heavy,280682,Vitol Group,N,Rotterdam,25,8
VYG1055,9512345,Nord Atlas,VLCC,2023-07-27,2023-07-31,2023-08-04,2023-07-31,2023-08-17,Ruwais,UAE,AG,Houston,USA,USGC,Arab Light,282140,Shell Trading,N,Antwerp,17,11
VYG1056,9512345,Nord Atlas,VLCC,2023-08-26,2023-08-29,2023-09-02,2023-08-30,2023-09-19,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Arab Heavy,284948,TotalEnergies Trading,N,Houston,20,5
VYG1057,9512345,Nord Atlas,VLCC,2023-09-28,2023-10-04,2023-10-08,2023-10-06,2023-10-18,Ruwais,UAE,AG,Ulsan,South Korea,FEA,Arab Heavy,280423,Freepoint Commodities,N,Houston,12,6
VYG1058,9512345,Nord Atlas,VLCC,2023-10-22,2023-10-25,2023-10-29,2023-10-27,2023-11-12,Ras Tanura,Saudi Arabia,AG,Antwerp,Belgium,NWE,Iranian Heavy,290170,Shell Trading,N,Houston,16,6
VYG1059,9512345,Nord Atlas,VLCC,2023-11-19,2023-11-21,2023-11-25,2023-11-21,2023-12-06,Basrah,Iraq,AG,Houston,USA,USGC,Iranian Heavy,266127,Trafigura,N,Houston,15,8
VYG1060,9512345,Nord Atlas,VLCC,2023-12-10,2023-12-16,2023-12-20,2023-12-16,2023-12-29,Escravos,Nigeria,WAF,Qingdao,China,FEA,Forcados,280325,TotalEnergies Trading,N,Singapore,13,5
VYG1061,9512345,Nord Atlas,VLCC,2024-01-05,2024-01-11,2024-01-15,2024-01-13,2024-01-30,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Arab Light,277740,Chevron Products,N,Antwerp,17,9
VYG1062,9512345,Nord Atlas,VLCC,2024-02-08,2024-02-14,2024-02-18,2024-02-16,2024-03-07,Ras Tanura,Saudi Arabia,AG,Qingdao,China,FEA,Basrah Light,269746,Shell Trading,N,Rotterdam,20,4
VYG1063,9512345,Nord Atlas,VLCC,2024-03-12,2024-03-15,2024-03-19,2024-03-16,2024-04-06,Bonny,Nigeria,WAF,Ulsan,South Korea,FEA,Bonny Light,264150,Shell Trading,N,Antwerp,21,4
VYG1064,9512345,Nord Atlas,VLCC,2024-04-12,2024-04-19,2024-04-23,2024-04-20,2024-05-17,Ras Tanura,Saudi Arabia,AG,Houston,USA,USGC,Arab Heavy,264231,BP Oil International,N,Antwerp,27,4
VYG1065,9512345,Nord Atlas,VLCC,2024-05-23,2024-05-30,2024-06-03,2024-06-01,2024-06-12,Ras Tanura,Saudi Arabia,AG,Qingdao,China,FEA,Arab Heavy,289624,Mercuria Energy,N,Rotterdam,11,5
VYG1066,9512345,Nord Atlas,VLCC,2024-06-21,2024-06-24,2024-06-28,2024-06-26,2024-07-17,Bonny,Nigeria,WAF,Antwerp,Belgium,NWE,Bonny Light,285933,Chevron Products,N,Rotterdam,21,10
VYG1067,9512345,Nord Atlas,VLCC,2024-07-25,2024-07-27,2024-07-31,2024-07-29,2024-08-18,Ruwais,UAE,AG,Qingdao,China,FEA,Basrah Light,288278,Castleton Commodities,N,Ulsan,20,10
VYG1068,9512345,Nord Atlas,VLCC,2024-08-24,2024-08-30,2024-09-03,2024-08-31,2024-09-23,Kharg Island,Iran,AG,Qingdao,China,FEA,Basrah Light,266852,Vitol Group,N,Ulsan,23,9
VYG1069,9512345,Nord Atlas,VLCC,2024-09-29,2024-10-03,2024-10-07,2024-10-03,2024-10-21,Ruwais,UAE,AG,Antwerp,Belgium,NWE,Basrah Light,273650,Equinor Trading,N,Ulsan,18,8
VYG1070,9512345,Nord Atlas,VLCC,2024-10-27,2024-11-02,2024-11-06,2024-11-02,2024-11-20,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Iranian Heavy,271541,Chevron Products,N,Antwerp,18,7
VYG1071,9512345,Nord Atlas,VLCC,2024-11-28,2024-12-05,2024-12-09,2024-12-07,2025-01-04,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Arab Heavy,272481,Saudi Aramco Trading,N,Ulsan,28,7
VYG1072,9523456,Nord Pioneer,VLCC,2022-01-01,2022-01-08,2022-01-12,2022-01-10,2022-01-29,Kharg Island,Iran,AG,Singapore,Singapore,SEA,Arab Light,281848,Castleton Commodities,N,Singapore,19,9
VYG1073,9523456,Nord Pioneer,VLCC,2022-02-06,2022-02-11,2022-02-15,2022-02-11,2022-02-26,Basrah,Iraq,AG,Singapore,Singapore,SEA,Arab Heavy,271872,Equinor Trading,N,Antwerp,15,8
VYG1074,9523456,Nord Pioneer,VLCC,2022-03-06,2022-03-11,2022-03-15,2022-03-13,2022-04-10,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,268631,ExxonMobil Oil,N,Antwerp,28,5
VYG1075,9523456,Nord Pioneer,VLCC,2022-04-17,2022-04-23,2022-04-27,2022-04-24,2022-05-05,Basrah,Iraq,AG,Qingdao,China,FEA,Arab Light,269909,Castleton Commodities,N,Singapore,11,11
VYG1076,9523456,Nord Pioneer,VLCC,2022-05-14,2022-05-17,2022-05-21,2022-05-19,2022-06-06,Basrah,Iraq,AG,Rotterdam,Netherlands,NWE,Arab Light,289772,Litasco,N,Antwerp,18,8
VYG1077,9523456,Nord Pioneer,VLCC,2022-06-15,2022-06-22,2022-06-26,2022-06-22,2022-07-07,Kharg Island,Iran,AG,Singapore,Singapore,SEA,Basrah Light,268630,Chevron Products,N,Singapore,15,8
VYG1078,9523456,Nord Pioneer,VLCC,2022-07-14,2022-07-17,2022-07-21,2022-07-17,2022-07-29,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,279832,ExxonMobil Oil,N,Ulsan,12,8
VYG1079,9523456,Nord Pioneer,VLCC,2022-08-06,2022-08-11,2022-08-15,2022-08-13,2022-09-07,Bonny,Nigeria,WAF,Ulsan,South Korea,FEA,Forcados,280623,Castleton Commodities,N,Rotterdam,25,5
VYG1080,9523456,Nord Pioneer,VLCC,2022-09-14,2022-09-16,2022-09-20,2022-09-18,2022-10-14,Ras Tanura,Saudi Arabia,AG,Qingdao,China,FEA,Iranian Heavy,268408,Freepoint Commodities,N,Ulsan,26,4
VYG1081,9523456,Nord Pioneer,VLCC,2022-10-20,2022-10-25,2022-10-29,2022-10-27,2022-11-14,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Basrah Light,286031,Glencore Energy,N,Singapore,18,9
VYG1082,9523456,Nord Pioneer,VLCC,2022-11-20,2022-11-26,2022-11-30,2022-11-28,2022-12-24,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,276758,Litasco,N,Houston,26,10
VYG1083,9523456,Nord Pioneer,VLCC,2022-12-31,2023-01-03,2023-01-07,2023-01-03,2023-01-16,Bonny,Nigeria,WAF,Qingdao,China,FEA,Forcados,294031,Saudi Aramco Trading,N,Rotterdam,13,8
VYG1084,9523456,Nord Pioneer,VLCC,2023-01-22,2023-01-28,2023-02-01,2023-01-29,2023-02-10,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Arab Heavy,294031,Saudi Aramco Trading,N,Rotterdam,12,9
VYG1085,9523456,Nord Pioneer,VLCC,2023-02-16,2023-02-22,2023-02-26,2023-02-23,2023-03-14,Basrah,Iraq,AG,Ningbo,China,FEA,Arab Heavy,295556,Mercuria Energy,N,Singapore,19,4
VYG1086,9523456,Nord Pioneer,VLCC,2023-03-22,2023-03-29,2023-04-02,2023-03-31,2023-04-18,Ras Tanura,Saudi Arabia,AG,Singapore,Singapore,SEA,Basrah Light,284999,Castleton Commodities,N,Rotterdam,18,4
VYG1087,9523456,Nord Pioneer,VLCC,2023-04-22,2023-04-24,2023-04-28,2023-04-25,2023-05-16,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Arab Heavy,266131,ExxonMobil Oil,N,Rotterdam,21,4
VYG1088,9523456,Nord Pioneer,VLCC,2023-05-22,2023-05-28,2023-06-01,2023-05-30,2023-06-17,Basrah,Iraq,AG,Houston,USA,USGC,Iranian Heavy,279117,Chevron Products,N,Singapore,18,6
VYG1089,9523456,Nord Pioneer,VLCC,2023-06-21,2023-06-24,2023-06-28,2023-06-25,2023-07-23,Kharg Island,Iran,AG,Houston,USA,USGC,Arab Heavy,269099,Glencore Energy,N,Singapore,28,7
VYG1090,9523456,Nord Pioneer,VLCC,2023-08-01,2023-08-03,2023-08-07,2023-08-05,2023-08-28,Ruwais,UAE,AG,Rotterdam,Netherlands,NWE,Arab Heavy,268973,Litasco,N,Ulsan,23,6
VYG1091,9523456,Nord Pioneer,VLCC,2023-09-04,2023-09-11,2023-09-15,2023-09-11,2023-10-04,Ruwais,UAE,AG,Houston,USA,USGC,Arab Heavy,268491,Trafigura,N,Singapore,23,9
VYG1092,9523456,Nord Pioneer,VLCC,2023-10-13,2023-10-20,2023-10-24,2023-10-20,2023-11-03,Escravos,Nigeria,WAF,Rotterdam,Netherlands,NWE,Forcados,289218,Freepoint Commodities,N,Rotterdam,14,5
VYG1093,9523456,Nord Pioneer,VLCC,2023-11-11,2023-11-14,2023-11-18,2023-11-14,2023-12-12,Ruwais,UAE,AG,Antwerp,Belgium,NWE,Arab Heavy,266852,Freepoint Commodities,N,Houston,28,4
VYG1094,9523456,Nord Pioneer,VLCC,2023-12-16,2023-12-18,2023-12-22,2023-12-18,2024-01-13,Basrah,Iraq,AG,Singapore,Singapore,SEA,Arab Heavy,272964,Vitol Group,N,Rotterdam,26,8
VYG1095,9523456,Nord Pioneer,VLCC,2024-01-18,2024-01-25,2024-01-29,2024-01-25,2024-02-05,Escravos,Nigeria,WAF,Antwerp,Belgium,NWE,Forcados,293779,Gunvor Group,N,Ulsan,11,4
VYG1096,9523456,Nord Pioneer,VLCC,2024-02-13,2024-02-20,2024-02-24,2024-02-22,2024-03-19,Ras Tanura,Saudi Arabia,AG,,,,Basrah Light,271853,Gunvor Group,Y,Antwerp,26,10
VYG1097,9523456,Nord Pioneer,VLCC,2024-03-23,2024-03-25,2024-03-29,2024-03-27,2024-04-16,Ruwais,UAE,AG,Qingdao,China,FEA,Basrah Light,284786,Shell Trading,N,Rotterdam,20,4
VYG1098,9523456,Nord Pioneer,VLCC,2024-04-25,2024-04-29,2024-05-03,2024-04-29,2024-05-25,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Basrah Light,273936,Shell Trading,N,Rotterdam,26,9
VYG1099,9523456,Nord Pioneer,VLCC,2024-05-29,2024-06-04,2024-06-08,2024-06-05,2024-07-04,Bonny,Nigeria,WAF,Ulsan,South Korea,FEA,Forcados,267405,Litasco,N,Ulsan,29,4
VYG1100,9523456,Nord Pioneer,VLCC,2024-07-11,2024-07-13,2024-07-17,2024-07-13,2024-07-27,Ruwais,UAE,AG,Ningbo,China,FEA,Arab Light,270988,Mercuria Energy,N,Antwerp,14,11
VYG1101,9523456,Nord Pioneer,VLCC,2024-08-02,2024-08-04,2024-08-08,2024-08-06,2024-08-19,Kharg Island,Iran,AG,Singapore,Singapore,SEA,Arab Light,279608,Litasco,N,Houston,13,8
VYG1102,9523456,Nord Pioneer,VLCC,2024-08-27,2024-08-30,2024-09-03,2024-08-31,2024-09-27,Ras Tanura,Saudi Arabia,AG,Ningbo,China,FEA,Arab Heavy,294329,Gunvor Group,N,Houston,27,8
VYG1103,9523456,Nord Pioneer,VLCC,2024-10-04,2024-10-07,2024-10-11,2024-10-08,2024-10-29,Ras Tanura,Saudi Arabia,AG,Qingdao,China,FEA,Basrah Light,285366,Chevron Products,N,Ulsan,21,7
VYG1104,9523456,Nord Pioneer,VLCC,2024-11-07,2024-11-09,2024-11-13,2024-11-09,2024-11-28,Escravos,Nigeria,WAF,Houston,USA,USGC,Bonny Light,280079,Litasco,N,Ulsan,19,8
VYG1105,9523456,Nord Pioneer,VLCC,2024-12-02,2024-12-04,2024-12-08,2024-12-06,2024-12-18,Bonny,Nigeria,WAF,Singapore,Singapore,SEA,Forcados,274962,Gunvor Group,N,Houston,12,8
VYG1106,9523456,Nord Pioneer,VLCC,2024-12-24,2024-12-30,2025-01-03,2024-12-31,2025-01-18,Escravos,Nigeria,WAF,Singapore,Singapore,SEA,Bonny Light,278105,Vitol Group,N,Houston,18,9
VYG1107,9534567,Nord Meridian,Suezmax,2022-01-01,2022-01-04,2022-01-08,2022-01-06,2022-01-27,Ras Tanura,Saudi Arabia,AG,Augusta,Italy,MED,Arab Heavy,139609,Chevron Products,N,Antwerp,21,6
VYG1108,9534567,Nord Meridian,Suezmax,2022-02-02,2022-02-06,2022-02-10,2022-02-07,2022-02-19,Djeno,Congo,WAF,Augusta,Italy,MED,Bonny Light,147979,Trafigura,N,Ulsan,12,5
VYG1109,9534567,Nord Meridian,Suezmax,2022-02-26,2022-03-04,2022-03-08,2022-03-05,2022-03-27,Escravos,Nigeria,WAF,Augusta,Italy,MED,Forcados,144036,Equinor Trading,N,Houston,22,5
VYG1110,9534567,Nord Meridian,Suezmax,2022-04-04,2022-04-08,2022-04-12,2022-04-09,2022-04-22,Sullom Voe,UK,NS,Ulsan,South Korea,FEA,Brent Blend,144738,Saudi Aramco Trading,N,Houston,13,7
VYG1111,9534567,Nord Meridian,Suezmax,2022-05-01,2022-05-06,2022-05-10,2022-05-08,2022-06-01,Basrah,Iraq,AG,Qingdao,China,FEA,Arab Heavy,153592,ExxonMobil Oil,N,Rotterdam,24,10
VYG1112,9534567,Nord Meridian,Suezmax,2022-06-08,2022-06-14,2022-06-18,2022-06-15,2022-06-30,Djeno,Congo,WAF,Trieste,Italy,MED,Forcados,152270,BP Oil International,N,Singapore,15,10
VYG1113,9534567,Nord Meridian,Suezmax,2022-07-06,2022-07-10,2022-07-14,2022-07-10,2022-07-22,Ras Tanura,Saudi Arabia,AG,Fos-sur-Mer,France,MED,Arab Heavy,152343,Glencore Energy,N,Singapore,12,10
VYG1114,9534567,Nord Meridian,Suezmax,2022-07-26,2022-07-28,2022-08-01,2022-07-28,2022-08-18,Escravos,Nigeria,WAF,Rotterdam,Netherlands,NWE,Bonny Light,143999,Vitol Group,N,Houston,21,6
VYG1115,9534567,Nord Meridian,Suezmax,2022-08-22,2022-08-28,2022-09-01,2022-08-30,2022-09-09,Mongstad,Norway,NS,Qingdao,China,FEA,Brent Blend,152573,Equinor Trading,N,Houston,10,7
VYG1116,9534567,Nord Meridian,Suezmax,2022-09-15,2022-09-21,2022-09-25,2022-09-21,2022-10-05,Ras Tanura,Saudi Arabia,AG,Trieste,Italy,MED,Arab Heavy,144805,Litasco,N,Houston,14,8
