port_call_id,voyage_id,port,port_type,call_date,agency_fee,pilotage,towage,port_dues,mooring,canal_transit,currency,usd_fx_rate
PC1018-L,VYG1018,Bonny,load,2023-07-17,16365.46,8463.36,7009.04,7289.28,3149.89,0.0,EUR,1.09
PC1018-D,VYG1018,Qingdao,discharge,2023-08-04,13773.92,4192.08,11564.28,12741.34,2950.32,0.0,AED,0.27
PC1019-L,VYG1019,Ruwais,load,2023-08-12,11554.75,5615.8,5784.08,16293.25,1466.13,0.0,USD,1.0
PC1019-D,VYG1019,Singapore,discharge,2023-09-05,15730.42,7762.09,11427.79,5273.7,1813.33,0.0,EUR,1.09
PC1020-L,VYG1020,Ras Tanura,load,2023-09-19,12641.1,6551.36,13148.25,10598.64,3612.99,0.0,EUR,1.09
PC1020-D,VYG1020,Antwerp,discharge,2023-10-08,11673.76,3302.65,11386.81,7235.59,1765.16,307782.98,EUR,1.09
PC1021-L,VYG1021,Ruwais,load,2023-10-18,15699.82,6187.61,4125.93,5016.75,2523.54,0.0,EUR,1.09
PC1021-D,VYG1021,Singapore,discharge,2023-11-09,11012.72,4068.26,10102.15,8398.46,2767.37,0.0,EUR,1.09
PC1022-L,VYG1022,Escravos,load,2023-11-19,11753.35,4106.74,5363.11,8524.4,1085.86,0.0,USD,1.0
PC1022-D,VYG1022,Singapore,discharge,2023-12-06,11044.33,8383.69,12272.58,10544.79,2718.41,0.0,USD,1.0
PC1023-L,VYG1023,Ruwais,load,2023-12-21,13628.03,7945.85,6341.69,9414.33,1899.01,0.0,USD,1.0
PC1023-D,VYG1023,Qingdao,discharge,2024-01-15,8380.67,4871.83,12736.54,18617.55,1324.48,0.0,USD,1.0
PC1024-L,VYG1024,Kharg Island,load,2024-01-22,12538.65,5270.47,8863.95,13276.39,1057.24,0.0,EUR,1.09
PC1024-D,VYG1024,Antwerp,discharge,2024-02-09,16367.68,8812.51,10498.93,14857.09,2575.33,0.0,EUR,1.09
PC1025-L,VYG1025,Ruwais,load,2024-02-22,11304.93,3880.89,9807.83,5655.21,3461.93,0.0,SGD,0.74
PC1025-D,VYG1025,Ningbo,discharge,2024-03-14,12168.42,5470.23,7247.47,19475.17,1519.67,0.0,EUR,1.09
PC1026-L,VYG1026,Kharg Island,load,2024-03-28,9481.37,3979.88,10549.99,19812.17,1700.74,0.0,USD,1.0
PC1026-D,VYG1026,Ningbo,discharge,2024-04-20,16999.32,4656.13,10444.07,5588.79,2478.67,0.0,AED,0.27
PC1027-L,VYG1027,Ras Tanura,load,2024-04-30,14497.21,6197.19,6357.09,17369.36,3897.37,0.0,USD,1.0
PC1027-D,VYG1027,Antwerp,discharge,2024-05-11,14311.33,7716.67,6393.51,17906.87,1834.47,358063.34,SGD,0.74
PC1028-L,VYG1028,Bonny,load,2024-05-20,15705.78,3660.35,6860.92,12960.95,2566.18,0.0,USD,1.0
PC1028-D,VYG1028,Rotterdam,discharge,2024-06-12,17901.4,3631.12,6691.5,10329.43,2428.63,424573.3,USD,1.0
PC1029-L,VYG1029,Ruwais,load,2024-06-23,12895.97,8110.05,11666.57,5265.16,2357.18,0.0,USD,1.0
PC1029-D,VYG1029,Ningbo,discharge,2024-07-21,14133.47,5743.17,5288.76,10925.57,2227.52,0.0,SGD,0.74
PC1030-L,VYG1030,Escravos,load,2024-07-31,9844.24,7512.72,7189.96,13788.69,2538.7,0.0,EUR,1.09
PC1030-D,VYG1030,Qingdao,discharge,2024-08-13,16718.36,3719.65,5125.49,9473.11,2286.0,0.0,AED,0.27
PC1031-L,VYG1031,Basrah,load,2024-08-19,10948.8,7553.86,6431.15,6250.72,2233.93,0.0,SGD,0.74
PC1031-D,VYG1031,Houston,discharge,2024-09-07,15681.35,8076.36,11295.67,13323.74,3162.0,0.0,EUR,1.09
PC1032-L,VYG1032,Ruwais,load,2024-09-20,14764.52,4391.51,9475.9,16503.94,1944.86,0.0,SGD,0.74
PC1032-D,VYG1032,Antwerp,discharge,2024-10-16,14491.27,5869.25,9001.48,6329.66,2988.66,0.0,EUR,1.09
PC1033-L,VYG1033,Bonny,load,2024-10-29,16601.35,3835.76,7635.52,5710.91,1085.27,0.0,AED,0.27
PC1033-D,VYG1033,Houston,discharge,2024-11-08,17836.93,5940.96,7530.01,9092.75,3926.9,0.0,USD,1.0
PC1034-L,VYG1034,Escravos,load,2024-11-16,10487.43,7329.74,6814.79,6037.15,3039.66,0.0,USD,1.0
PC1034-D,VYG1034,Singapore,discharge,2024-12-02,7989.59,7030.98,6482.09,16137.59,3298.22,0.0,AED,0.27
PC1035-L,VYG1035,Kharg Island,load,2024-12-14,15190.27,3136.41,11000.57,19786.01,1722.12,0.0,EUR,1.09
PC1035-D,VYG1035,Ningbo,discharge,2025-01-07,10706.58,7854.89,5585.29,14859.06,3254.2,0.0,EUR,1.09
PC1036-L,VYG1036,Ruwais,load,2022-01-08,8329.75,6290.96,9709.98,9503.89,3610.89,0.0,USD,1.0
PC1036-D,VYG1036,Rotterdam,discharge,2022-01-22,9579.36,5159.24,12424.25,7820.34,3446.8,0.0,EUR,1.09
PC1037-L,VYG1037,Basrah,load,2022-02-03,8746.74,5905.7,4729.54,15092.71,3354.95,0.0,USD,1.0
PC1037-D,VYG1037,Antwerp,discharge,2022-03-01,16416.09,8843.14,10666.56,16453.25,2504.69,0.0,USD,1.0
PC1038-L,VYG1038,Ras Tanura,load,2022-03-12,17041.73,6828.24,12771.34,8489.12,2477.76,0.0,EUR,1.09
PC1038-D,VYG1038,Rotterdam,discharge,2022-04-09,9977.08,4246.7,13711.53,11461.56,1537.72,404069.22,USD,1.0
PC1039-L,VYG1039,Bonny,load,2022-04-18,11258.07,5357.34,10179.7,18750.99,3939.97,0.0,AED,0.27
PC1039-D,VYG1039,Houston,discharge,2022-05-06,14444.4,7163.54,7182.2,17768.09,1645.13,0.0,EUR,1.09
PC1040-L,VYG1040,Bonny,load,2022-05-23,9018.49,8795.34,12578.18,9506.9,3010.38,0.0,EUR,1.09
PC1040-D,VYG1040,Antwerp,discharge,2022-06-06,11175.13,4697.04,5333.47,13173.57,2328.09,359393.12,EUR,1.09
PC1041-L,VYG1041,Ruwais,load,2022-06-17,13056.25,4270.68,13319.18,14505.97,3680.31,0.0,EUR,1.09
PC1041-D,VYG1041,Antwerp,discharge,2022-07-10,9047.25,6703.42,12432.15,9913.99,1577.5,0.0,EUR,1.09
PC1042-L,VYG1042,Ruwais,load,2022-07-22,10596.96,4614.41,8429.63,9840.01,1804.75,0.0,AED,0.27
PC1042-D,VYG1042,Qingdao,discharge,2022-08-01,14412.7,3301.6,7366.62,15269.55,1519.91,0.0,EUR,1.09
PC1043-L,VYG1043,Ruwais,load,2022-08-13,10158.23,4182.98,3989.21,12045.98,1111.29,0.0,AED,0.27
PC1043-D,VYG1043,Rotterdam,discharge,2022-08-26,10675.75,8923.98,13118.04,8185.01,1920.36,0.0,AED,0.27
PC1044-L,VYG1044,Basrah,load,2022-09-06,12573.86,8026.15,11966.33,6859.15,1366.48,0.0,AED,0.27
PC1044-D,VYG1044,Rotterdam,discharge,2022-09-21,16617.45,8251.05,5048.29,13546.39,1459.69,350844.48,USD,1.0
PC1045-L,VYG1045,Ras Tanura,load,2022-10-03,14786.99,8456.11,8504.95,6215.01,2724.07,0.0,SGD,0.74
PC1045-D,VYG1045,,discharge,2022-10-15,12024.74,7826.07,7366.43,18032.84,1812.0,0.0,AED,0.27
PC1046-L,VYG1046,Ras Tanura,load,2022-10-23,9527.3,4814.69,4327.41,9172.6,2965.45,0.0,EUR,1.09
PC1046-D,VYG1046,Houston,discharge,2022-11-21,9375.72,3649.85,5297.23,6132.46,3605.79,0.0,SGD,0.74
PC1047-L,VYG1047,Kharg Island,load,2022-12-05,17353.95,3262.97,11542.71,15976.99,3970.77,0.0,AED,0.27
PC1047-D,VYG1047,Singapore,discharge,2022-12-18,11421.31,4689.49,8488.17,17759.38,3169.85,0.0,EUR,1.09
PC1048-L,VYG1048,Kharg Island,load,2023-01-01,12652.66,4445.04,11213.81,17728.81,2188.85,0.0,EUR,1.09
PC1048-D,VYG1048,Qingdao,discharge,2023-01-19,14612.43,5374.27,8741.01,12809.29,3310.54,0.0,USD,1.0
PC1049-L,VYG1049,Ruwais,load,2023-01-31,17686.18,5637.87,7386.03,10550.85,1394.66,0.0,USD,1.0
PC1049-D,VYG1049,Antwerp,discharge,2023-02-19,10914.54,3501.09,8237.55,7472.81,2029.02,0.0,EUR,1.09
PC1050-L,VYG1050,Basrah,load,2023-03-05,15856.1,4453.19,10068.35,18425.13,2687.28,0.0,AED,0.27
PC1050-D,VYG1050,Ulsan,discharge,2023-03-24,9888.24,5043.25,9854.17,12536.17,1438.63,0.0,AED,0.27
PC1051-L,VYG1051,Escravos,load,2023-04-06,12405.62,6227.11,6639.96,14115.75,1204.43,0.0,SGD,0.74
PC1051-D,VYG1051,Qingdao,discharge,2023-04-18,11309.24,7786.53,6559.88,14007.26,2218.94,0.0,EUR,1.09
PC1052-L,VYG1052,Escravos,load,2023-04-30,11108.78,8454.31,7395.45,8507.39,3709.26,0.0,AED,0.27
PC1052-D,VYG1052,Singapore,discharge,2023-05-24,15382.15,7055.34,4472.87,6933.23,2900.44,0.0,EUR,1.09
PC1053-L,VYG1053,Kharg Island,load,2023-06-05,10043.86,4332.06,11732.43,9242.43,1208.69,0.0,USD,1.0
PC1053-D,VYG1053,Ningbo,discharge,2023-06-17,8322.5,5630.77,10120.43,17943.11,1325.75,0.0,EUR,1.09
PC1054-L,VYG1054,Kharg Island,load,2023-06-27,9916.89,6147.91,7602.88,12176.87,3753.51,0.0,USD,1.0
PC1054-D,VYG1054,Singapore,discharge,2023-07-22,13381.67,5463.27,13824.93,5948.34,3777.36,0.0,EUR,1.09
PC1055-L,VYG1055,Ruwais,load,2023-07-31,12951.54,5992.43,13153.55,12546.81,2303.65,0.0,USD,1.0
PC1055-D,VYG1055,Houston,discharge,2023-08-17,10671.26,6918.14,9647.97,8174.11,3112.6,0.0,EUR,1.09
PC1056-L,VYG1056,Ras Tanura,load,2023-08-30,14368.66,5357.08,4023.79,11640.22,1013.08,0.0,USD,1.0
PC1056-D,VYG1056,Rotterdam,discharge,2023-09-19,12244.57,3474.06,6722.87,14758.21,1916.22,292749.74,EUR,1.09
PC1057-L,VYG1057,Ruwais,load,2023-10-06,17886.6,8455.32,9803.83,19406.69,3586.03,0.0,SGD,0.74
PC1057-D,VYG1057,Ulsan,discharge,2023-10-18,11133.04,7460.09,5341.48,15191.93,2460.88,0.0,AED,0.27
PC1058-L,VYG1058,Ras Tanura,load,2023-10-27,8127.42,4622.15,13486.05,9688.78,1536.64,0.0,EUR,1.09
PC1058-D,VYG1058,Antwerp,discharge,2023-11-12,12728.17,8015.62,11522.12,11495.02,1618.05,311880.35,EUR,1.09
PC1059-L,VYG1059,Basrah,load,2023-11-21,8418.35,5746.9,12087.01,15865.5,2214.67,0.0,AED,0.27
PC1059-D,VYG1059,Houston,discharge,2023-12-06,13877.29,5589.39,9741.21,12698.77,3027.69,0.0,USD,1.0
PC1060-L,VYG1060,Escravos,load,2023-12-16,13011.7,8600.45,8238.88,5212.55,1700.58,0.0,USD,1.0
PC1060-D,VYG1060,Qingdao,discharge,2023-12-29,12941.04,6212.21,9476.23,15639.69,1814.82,0.0,AED,0.27
PC1061-L,VYG1061,Basrah,load,2024-01-13,14575.79,7188.07,8072.24,10977.37,1529.09,0.0,USD,1.0
PC1061-D,VYG1061,Antwerp,discharge,2024-01-30,12079.17,7682.29,13024.28,13834.68,1888.62,0.0,EUR,1.09
PC1062-L,VYG1062,Ras Tanura,load,2024-02-16,14748.78,7403.67,7285.52,17311.23,1214.98,0.0,EUR,1.09
PC1062-D,VYG1062,Qingdao,discharge,2024-03-07,8067.0,3719.14,5532.28,18093.02,2263.57,0.0,EUR,1.09
PC1063-L,VYG1063,Bonny,load,2024-03-16,10695.57,5546.58,7908.67,9474.32,1406.63,0.0,EUR,1.09
PC1063-D,VYG1063,Ulsan,discharge,2024-04-06,14486.36,3800.53,11695.47,7985.19,3178.14,0.0,AED,0.27
PC1064-L,VYG1064,Ras Tanura,load,2024-04-20,15975.58,3733.2,4843.12,19147.37,2377.19,0.0,SGD,0.74
PC1064-D,VYG1064,Houston,discharge,2024-05-17,14230.84,3123.86,6753.17,12518.06,3640.36,0.0,SGD,0.74
PC1065-L,VYG1065,Ras Tanura,load,2024-06-01,10660.82,7612.89,10569.02,6695.42,1870.72,0.0,EUR,1.09
PC1065-D,VYG1065,Qingdao,discharge,2024-06-12,10326.75,5626.89,10301.58,11443.79,1724.94,0.0,AED,0.27
PC1066-L,VYG1066,Bonny,load,2024-06-26,14883.99,6474.29,9147.17,13249.71,1657.37,0.0,SGD,0.74
PC1066-D,VYG1066,Antwerp,discharge,2024-07-17,11815.63,5154.9,5469.86,13882.8,2793.95,395673.28,USD,1.0
PC1067-L,VYG1067,Ruwais,load,2024-07-29,11345.99,8118.3,12392.31,6602.64,3069.69,0.0,SGD,0.74
PC1067-D,VYG1067,Qingdao,discharge,2024-08-18,11878.66,8953.3,6218.99,9161.82,2314.69,0.0,USD,1.0
PC1068-L,VYG1068,Kharg Island,load,2024-08-31,10633.72,7116.2,8765.04,8271.62,2506.53,0.0,EUR,1.09
PC1068-D,VYG1068,Qingdao,discharge,2024-09-23,16803.44,7715.6,8943.35,9280.75,1531.96,0.0,EUR,1.09
PC1069-L,VYG1069,Ruwais,load,2024-10-03,16699.91,7224.7,9673.02,18100.56,1358.25,0.0,EUR,1.09
PC1069-D,VYG1069,Antwerp,discharge,2024-10-21,14750.77,4278.77,5179.75,11924.21,2151.37,0.0,SGD,0.74
PC1070-L,VYG1070,Ras Tanura,load,2024-11-02,17324.68,4919.16,12088.28,16151.24,2988.75,0.0,USD,1.0
PC1070-D,VYG1070,Rotterdam,discharge,2024-11-20,12018.85,5311.34,5581.43,9090.75,3621.13,436468.08,USD,1.0
PC1071-L,VYG1071,Ras Tanura,load,2024-12-07,12680.1,5022.88,6130.31,12213.03,3134.25,0.0,USD,1.0
PC1071-D,VYG1071,Rotterdam,discharge,2025-01-04,15499.28,6744.83,11816.25,8719.83,2878.62,328737.64,USD,1.0
PC1072-L,VYG1072,Kharg Island,load,2022-01-10,9600.94,5217.33,11318.56,14571.53,1574.01,0.0,EUR,1.09
PC1072-D,VYG1072,Singapore,discharge,2022-01-29,16693.98,3342.24,10018.5,19889.02,2611.81,0.0,AED,0.27
PC1073-L,VYG1073,Basrah,load,2022-02-11,16113.43,6614.89,11909.76,14932.8,3093.89,0.0,EUR,1.09
PC1073-D,VYG1073,Singapore,discharge,2022-02-26,10346.63,7500.6,6421.63,19841.0,1694.58,0.0,AED,0.27
PC1074-L,VYG1074,Escravos,load,2022-03-13,10435.95,8206.39,6472.72,10482.97,3164.88,0.0,USD,1.0
PC1074-D,VYG1074,Singapore,discharge,2022-04-10,9651.4,3980.79,8922.67,8713.15,1718.35,0.0,SGD,0.74
PC1075-L,VYG1075,Basrah,load,2022-04-24,8146.34,5257.52,7230.39,5503.79,2882.79,0.0,USD,1.0
PC1075-D,VYG1075,Qingdao,discharge,2022-05-05,14361.66,3447.63,7218.22,18212.7,2764.81,0.0,USD,1.0
PC1076-L,VYG1076,Basrah,load,2022-05-19,12200.55,5829.22,6123.35,17292.74,3766.96,0.0,USD,1.0
PC1076-D,VYG1076,Rotterdam,discharge,2022-06-06,10307.61,4896.87,5643.6,9672.07,2011.74,434812.89,SGD,0.74
PC1077-L,VYG1077,Kharg Island,load,2022-06-22,14426.6,4165.46,13281.93,6590.14,1027.44,0.0,USD,1.0
PC1077-D,VYG1077,Singapore,discharge,2022-07-07,16659.78,7270.77,7603.96,14025.38,1681.77,0.0,SGD,0.74
PC1078-L,VYG1078,Escravos,load,2022-07-17,9748.46,5865.74,7582.09,14323.31,1665.48,0.0,EUR,1.09
PC1078-D,VYG1078,Singapore,discharge,2022-07-29,14726.81,7651.84,5704.14,5695.59,2334.22,0.0,SGD,0.74
PC1079-L,VYG1079,Bonny,load,2022-08-13,15845.18,6950.71,11092.28,11116.21,1716.2,0.0,USD,1.0
PC1079-D,VYG1079,Ulsan,discharge,2022-09-07,13406.57,4254.37,11337.37,8007.53,1886.28,0.0,AED,0.27
PC1080-L,VYG1080,Ras Tanura,load,2022-09-18,13152.55,5959.73,10075.22,11638.75,3783.48,0.0,AED,0.27
PC1080-D,VYG1080,Qingdao,discharge,2022-10-14,16508.67,8329.85,10363.8,14621.95,2846.45,0.0,USD,1.0
PC1081-L,VYG1081,Ras Tanura,load,2022-10-27,12431.17,4965.52,9986.16,5418.86,1029.19,0.0,AED,0.27
PC1081-D,VYG1081,Rotterdam,discharge,2022-11-14,8520.67,6189.76,10217.54,8025.72,3711.77,424779.11,SGD,0.74
PC1082-L,VYG1082,Escravos,load,2022-11-28,9966.96,8362.47,11707.44,8668.55,1461.91,0.0,EUR,1.09
PC1082-D,VYG1082,Singapore,discharge,2022-12-24,11236.74,5423.62,6500.9,20116.6,1700.22,0.0,AED,0.27
PC1083-L,VYG1083,Bonny,load,2023-01-03,16415.06,3981.07,13894.46,8438.74,2280.17,0.0,EUR,1.09
PC1083-D,VYG1083,Qingdao,discharge,2023-01-16,13676.21,3746.53,12249.32,9181.08,2665.46,0.0,USD,1.0
PC1084-L,VYG1084,Ras Tanura,load,2023-01-29,13586.31,6659.95,4585.23,7579.48,1493.47,0.0,EUR,1.09
PC1084-D,VYG1084,Rotterdam,discharge,2023-02-10,9512.14,8588.4,9190.41,14449.32,2086.28,331348.71,USD,1.0
PC1085-L,VYG1085,Basrah,load,2023-02-23,10834.21,6059.19,6989.52,10222.39,2373.97,0.0,EUR,1.09
PC1085-D,VYG1085,Ningbo,discharge,2023-03-14,13144.39,8965.26,6274.78,12401.77,1458.19,0.0,USD,1.0
PC1086-L,VYG1086,Ras Tanura,load,2023-03-31,11576.66,7352.56,5782.92,13811.74,2265.1,0.0,USD,1.0
PC1086-D,VYG1086,Singapore,discharge,2023-04-18,8572.57,8655.77,8190.27,16870.62,2263.93,0.0,AED,0.27
PC1087-L,VYG1087,Basrah,load,2023-04-25,17489.43,4774.44,8176.46,16492.18,2044.54,0.0,AED,0.27
PC1087-D,VYG1087,Antwerp,discharge,2023-05-16,11721.19,9028.73,9619.85,15442.98,2949.92,0.0,EUR,1.09
PC1088-L,VYG1088,Basrah,load,2023-05-30,16387.77,8225.42,9696.78,9481.13,1075.52,0.0,SGD,0.74
PC1088-D,VYG1088,Houston,discharge,2023-06-17,14238.33,8005.83,8562.1,7520.4,1876.67,0.0,EUR,1.09
PC1089-L,VYG1089,Kharg Island,load,2023-06-25,13187.22,8073.55,5755.65,14276.8,3281.84,0.0,SGD,0.74
PC1089-D,VYG1089,Houston,discharge,2023-07-23,17476.21,3724.89,13352.34,14115.49,3322.11,0.0,USD,1.0
PC1090-L,VYG1090,Ruwais,load,2023-08-05,8594.67,6077.13,10294.47,9666.52,2310.25,0.0,AED,0.27
PC1090-D,VYG1090,Rotterdam,discharge,2023-08-28,13633.27,6357.39,4448.07,11669.51,1652.4,0.0,EUR,1.09
PC1091-L,VYG1091,Ruwais,load,2023-09-11,17281.4,8918.54,7043.11,7678.63,1669.57,0.0,AED,0.27
PC1091-D,VYG1091,Houston,discharge,2023-10-04,12862.71,8302.01,9060.36,5869.75,1127.12,0.0,SGD,0.74
PC1092-L,VYG1092,Escravos,load,2023-10-20,10342.4,8110.34,10282.9,13534.0,1969.95,0.0,SGD,0.74
PC1092-D,VYG1092,Rotterdam,discharge,2023-11-03,17409.55,5020.32,12431.77,18561.48,2466.34,0.0,EUR,1.09
PC1093-L,VYG1093,Ruwais,load,2023-11-14,17055.85,4691.89,10654.9,6361.59,2437.95,0.0,EUR,1.09
PC1093-D,VYG1093,Antwerp,discharge,2023-12-12,10241.14,3399.09,4064.17,9937.09,2787.05,0.0,EUR,1.09
PC1094-L,VYG1094,Basrah,load,2023-12-18,12635.99,4842.69,14004.75,19220.16,1386.14,0.0,EUR,1.09
PC1094-D,VYG1094,Singapore,discharge,2024-01-13,12232.08,6939.04,11410.47,10565.55,3260.44,0.0,SGD,0.74
PC1095-L,VYG1095,Escravos,load,2024-01-25,9303.11,5024.15,11238.76,14481.14,3535.04,0.0,SGD,0.74
PC1095-D,VYG1095,Antwerp,discharge,2024-02-05,8525.03,4073.33,4514.85,7934.26,1019.6,0.0,USD,1.0
PC1096-L,VYG1096,Ras Tanura,load,2024-02-22,13129.05,6211.02,10649.44,10845.51,1016.35,0.0,SGD,0.74
PC1096-D,VYG1096,,discharge,2024-03-19,14837.17,3347.92,12746.12,5375.41,2608.7,0.0,EUR,1.09
PC1097-L,VYG1097,Ruwais,load,2024-03-27,17062.17,6477.84,10151.4,15325.66,1376.34,0.0,USD,1.0
PC1097-D,VYG1097,Qingdao,discharge,2024-04-16,14847.6,8337.34,13833.82,11723.42,2047.07,0.0,USD,1.0
PC1098-L,VYG1098,Basrah,load,2024-04-29,15636.65,6298.96,6616.87,7632.92,1520.76,0.0,USD,1.0
PC1098-D,VYG1098,Antwerp,discharge,2024-05-25,12675.72,4047.55,4225.17,5819.87,3814.92,0.0,EUR,1.09
PC1099-L,VYG1099,Bonny,load,2024-06-05,8787.81,3462.01,8568.63,8734.35,3914.0,0.0,EUR,1.09
PC1099-D,VYG1099,Ulsan,discharge,2024-07-04,17223.92,5464.65,8543.9,10697.55,1121.02,0.0,EUR,1.09
PC1100-L,VYG1100,Ruwais,load,2024-07-13,11001.32,3760.95,5057.19,13502.34,1304.94,0.0,USD,1.0
PC1100-D,VYG1100,Ningbo,discharge,2024-07-27,9089.51,5922.3,8478.98,7111.62,1020.1,0.0,EUR,1.09
PC1101-L,VYG1101,Kharg Island,load,2024-08-06,9995.94,4444.79,12082.5,18856.45,2232.62,0.0,SGD,0.74
PC1101-D,VYG1101,Singapore,discharge,2024-08-19,12130.6,7323.39,10337.68,7813.85,1331.89,0.0,USD,1.0
PC1102-L,VYG1102,Ras Tanura,load,2024-08-31,12458.63,6431.56,5422.99,9461.76,1930.61,0.0,USD,1.0
PC1102-D,VYG1102,Ningbo,discharge,2024-09-27,10683.74,5803.0,10600.84,12725.12,1615.07,0.0,AED,0.27
PC1103-L,VYG1103,Ras Tanura,load,2024-10-08,9089.59,7984.1,8851.67,5971.64,1786.19,0.0,USD,1.0
PC1103-D,VYG1103,Qingdao,discharge,2024-10-29,16147.27,7560.43,12843.22,14124.86,2283.84,0.0,USD,1.0
PC1104-L,VYG1104,Escravos,load,2024-11-09,12348.13,4191.76,10578.04,13867.87,1474.36,0.0,SGD,0.74
PC1104-D,VYG1104,Houston,discharge,2024-11-28,16969.01,5245.55,4527.37,9984.34,3633.63,0.0,EUR,1.09
PC1105-L,VYG1105,Bonny,load,2024-12-06,17284.03,5982.01,13653.82,18249.48,3498.86,0.0,EUR,1.09
PC1105-D,VYG1105,Singapore,discharge,2024-12-18,16707.75,5326.53,11641.79,13751.15,3180.11,0.0,AED,0.27
